Order #,Buyer Name,Order Date,Channel,Status,Shipping Type,Product Amt,Shipping Amt,Total Amt,Buyer Paid,Carrier Information
D625C813-167FE4-82ED4,Grace Gray,"Friday, 09 May 2025",TcgMarketplace,Completed - Paid,Standard,5.27,0.99,6.26,TRUE,
D625C813-22B8B6-95F27,Elijah Russell,"Friday, 16 May 2025",TcgMarketplace,Completed - Paid,Standard,3.30,1.22,4.52,TRUE,
D625C813-1640CA-4B860,James Barnes,"Friday, 16 May 2025",TcgMarketplace,Completed - Paid,Standard,2.53,0.99,3.52,TRUE,
D625C813-058605-EF05A,Benjamin Price,"Friday, 23 May 2025",TcgMarketplace,Completed - Paid,Standard,5.99,1.31,7.30,TRUE,
D625C813-1A801C-367DE,Olivia Kelly,"Friday, 30 May 2025",TcgMarketplace,Completed - Paid,Standard,1.60,1.31,2.91,TRUE,
D625C813-1A954A-542A7,James Carter,"Monday, 19 May 2025",TcgMarketplace,Completed - Paid,Standard,4.35,1.31,5.66,TRUE,
D625C813-8F68D9-D9B03,Evelyn Reed,"Monday, 26 May 2025",TcgMarketplace,Completed - Paid,Standard,1.43,1.22,2.65,TRUE,
D625C813-F82AF2-89FEC,Charlotte Ross,"Saturday, 03 May 2025",TcgMarketplace,Completed - Paid,Standard,5.08,0.99,6.07,TRUE,
D625C813-5DCA33-037D1,Sebastian Barnes,"Saturday, 03 May 2025",TcgMarketplace,Completed - Paid,Standard,2.70,1.31,4.01,TRUE,
D625C813-781359-331A3,Oliver Russell,"Saturday, 10 May 2025",TcgMarketplace,Completed - Paid,Standard,3.31,0.99,4.30,TRUE,
D625C813-98D2F1-29A31,Aria Bell,"Saturday, 24 May 2025",TcgMarketplace,Completed - Paid,Standard,2.86,0.99,3.85,TRUE,
D625C813-96D43C-957A8,Olivia Wood,"Saturday, 24 May 2025",TcgMarketplace,Completed - Paid,Standard,5.98,1.31,7.29,TRUE,
D625C813-C616F8-FD0BA,Nora Flores,"Sunday, 04 May 2025",TcgMarketplace,Completed - Paid,Standard,2.01,0.99,3.00,TRUE,
D625C813-B59869-4B0E8,Charlotte Price,"Sunday, 04 May 2025",TcgMarketplace,Completed - Paid,Standard,4.36,0.99,5.35,TRUE,
D625C813-478BE9-3761A,Ethan Bennett,"Sunday, 11 May 2025",TcgMarketplace,Completed - Paid,Standard,1.58,0.99,2.57,TRUE,
D625C813-FBE32C-262EC,Sebastian Long,"Sunday, 25 May 2025",TcgMarketplace,Completed - Paid,Standard,4.17,1.22,5.39,TRUE,
D625C813-EC4BBC-A7330,Nora Brooks,"Thursday, 01 May 2025",TcgMarketplace,Completed - Paid,Standard,6.42,0.99,7.41,TRUE,
D625C813-C0CB52-F511D,Hannah Morgan,"Thursday, 08 May 2025",TcgMarketplace,Completed - Paid,Standard,3.58,0.99,4.57,TRUE,
D625C813-35C0DC-61E9B,Amelia Powell,"Thursday, 15 May 2025",TcgMarketplace,Completed - Paid,Standard,3.21,1.31,4.52,TRUE,
D625C813-F134EE-E52DB,Layla Long,"Thursday, 15 May 2025",TcgMarketplace,Completed - Paid,Standard,4.49,1.31,5.80,TRUE,
D625C813-4C1DD3-D74C3,Noah Wood,"Thursday, 22 May 2025",TcgMarketplace,Completed - Paid,Standard,5.78,0.99,6.77,TRUE,
D625C813-8C8050-EED40,Aria Reed,"Wednesday, 07 May 2025",TcgMarketplace,Completed - Paid,Standard,2.01,0.99,3.00,TRUE,
D625C813-DF4A6F-8F1F2,Ava Brooks,"Wednesday, 07 May 2025",TcgMarketplace,Completed - Paid,Standard,3.31,0.99,4.30,TRUE,
D625C813-AF165D-33764,Isabella Russell,"Wednesday, 14 May 2025",TcgMarketplace,Completed - Paid,Standard,3.68,0.99,4.67,TRUE,
D625C813-9A1E8A-5B83A,Michael Wood,"Wednesday, 14 May 2025",TcgMarketplace,Completed - Paid,Standard,1.57,0.99,2.56,TRUE,
D625C813-321B89-01398,Nora Bennett,"Wednesday, 21 May 2025",TcgMarketplace,Completed - Paid,Standard,1.79,0.99,2.78,TRUE,
D625C813-4AF211-849B3,Ava Cook,"Wednesday, 21 May 2025",TcgMarketplace,Completed - Paid,Standard,4.00,1.31,5.31,TRUE,
D625C813-67D25A-BA1A8,Isabella Parker,"Wednesday, 28 May 2025",TcgMarketplace,Completed - Paid,Standard,2.43,0.99,3.42,TRUE,
