Order #,Buyer Name,Order Date,Channel,Status,Shipping Type,Product Amt,Shipping Amt,Total Amt,Buyer Paid,Carrier Information
D625C813-68447F-4E71D,Owen Parker,"Friday, 04 July 2025",TcgMarketplace,Completed - Paid,Standard,7.07,1.31,8.38,TRUE,
D625C813-9322B9-6878A,Amelia Flores,"Friday, 04 July 2025",TcgMarketplace,Completed - Paid,Standard,20.55,0.99,21.54,TRUE,
D625C813-8B357A-B2F74,William Mitchell,"Friday, 04 July 2025",TcgMarketplace,Completed - Paid,Standard,12.19,1.31,13.50,TRUE,
D625C813-88567C-A2A6B,Charlotte James,"Friday, 04 July 2025",TcgMarketplace,Completed - Paid,Standard,21.40,0.99,22.39,TRUE,
D625C813-1D70F3-B2A2E,Mia Reed,"Friday, 04 July 2025",TcgMarketplace,Completed - Paid,Standard,20.28,0.99,21.27,TRUE,
D625C813-2D5AA9-4D01E,Owen Long,"Friday, 04 July 2025",TcgMarketplace,Completed - Paid,Standard,30.55,0.99,31.54,TRUE,
D625C813-C78740-F8F35,Elijah Cooper,"Friday, 11 July 2025",TcgMarketplace,Completed - Paid,Standard,27.04,0.99,28.03,TRUE,
D625C813-B089B4-33938,Logan Morgan,"Friday, 11 July 2025",TcgMarketplace,Completed - Paid,Standard,15.61,0.99,16.60,TRUE,
D625C813-032DDE-499DA,Nora Ward,"Friday, 18 July 2025",TcgMarketplace,Completed - Paid,Standard,72.72,0.99,73.71,TRUE,
D625C813-BC811C-D5D0B,Nora Foster,"Friday, 18 July 2025",TcgMarketplace,Completed - Paid,Standard,12.85,1.31,14.16,TRUE,
D625C813-483C86-ADA1B,Isabella Brooks,"Friday, 18 July 2025",TcgMarketplace,Completed - Paid,Standard,18.33,0.99,19.32,TRUE,
D625C813-7B5282-EFF8D,James Perry,"Friday, 25 July 2025",TcgMarketplace,Completed - Paid,Standard,24.58,1.22,25.80,TRUE,
D625C813-7515C7-7D1C4,Hannah Brooks,"Friday, 25 July 2025",TcgMarketplace,Completed - Paid,Standard,19.36,0.99,20.35,TRUE,
D625C813-DB0235-A852E,Logan Murphy,"Monday, 07 July 2025",TcgMarketplace,Completed - Paid,Standard,15.53,1.22,16.75,TRUE,
D625C813-80EF74-22ABF,Jacob Barnes,"Monday, 07 July 2025",TcgMarketplace,Completed - Paid,Standard,45.85,0.99,46.84,TRUE,
D625C813-9B0B63-3D084,Aria Ward,"Monday, 07 July 2025",TcgMarketplace,Completed - Paid,Standard,7.98,1.22,9.20,TRUE,
D625C813-C68548-71F7D,Amelia Price,"Monday, 07 July 2025",TcgMarketplace,Completed - Paid,Standard,15.23,0.99,16.22,TRUE,
D625C813-BF604D-2FD88,Benjamin James,"Monday, 07 July 2025",TcgMarketplace,Completed - Paid,Standard,24.89,0.99,25.88,TRUE,
D625C813-6A1F18-8F867,Michael Price,"Monday, 14 July 2025",TcgMarketplace,Completed - Paid,Standard,6.53,1.31,7.84,TRUE,
D625C813-645175-8D069,Oliver Russell,"Monday, 14 July 2025",TcgMarketplace,Completed - Paid,Standard,27.79,0.99,28.78,TRUE,
D625C813-4F75D7-FC3C9,Ethan Russell,"Monday, 14 July 2025",TcgMarketplace,Completed - Paid,Standard,8.75,0.99,9.74,TRUE,
D625C813-39B4F0-DE393,Daniel Cooper,"Monday, 14 July 2025",TcgMarketplace,Completed - Paid,Standard,42.74,0.99,43.73,TRUE,
D625C813-D515EB-E6F77,Chloe Morgan,"Monday, 21 July 2025",TcgMarketplace,Completed - Paid,Standard,10.70,0.99,11.69,TRUE,
D625C813-BC1F76-8EB8C,Jacob Ross,"Monday, 21 July 2025",TcgMarketplace,Completed - Paid,Standard,13.16,0.99,14.15,TRUE,
D625C813-0ABC61-13198,Owen Carter,"Monday, 21 July 2025",TcgMarketplace,Completed - Paid,Standard,60.57,0.99,61.56,TRUE,
D625C813-71798F-FE2D9,Jacob Murphy,"Monday, 21 July 2025",TcgMarketplace,Completed - Paid,Standard,7.70,0.99,8.69,TRUE,
D625C813-A24DE6-D573F,Henry Flores,"Monday, 21 July 2025",TcgMarketplace,Completed - Paid,Standard,56.12,1.22,57.34,TRUE,
D625C813-4FF1A5-CAF29,Owen Brooks,"Monday, 28 July 2025",TcgMarketplace,Completed - Paid,Standard,26.56,1.22,27.78,TRUE,
D625C813-813172-0FD6F,Olivia Perry,"Monday, 28 July 2025",TcgMarketplace,Completed - Paid,Standard,14.10,0.99,15.09,TRUE,
D625C813-F87A6D-710C4,Mia Bell,"Monday, 28 July 2025",TcgMarketplace,Completed - Paid,Standard,36.28,1.22,37.50,TRUE,
D625C813-CEA1B0-D005E,Emma Henderson,"Monday, 28 July 2025",TcgMarketplace,Completed - Paid,Standard,18.97,0.99,19.96,TRUE,
D625C813-33E5D9-1A038,Oliver Kelly,"Monday, 28 July 2025",TcgMarketplace,Completed - Paid,Standard,7.28,1.22,8.50,TRUE,
D625C813-5F0275-71255,Mia Bell,"Saturday, 05 July 2025",TcgMarketplace,Completed - Paid,Standard,7.98,0.99,8.97,TRUE,
